Termos,Numero de Ocorrencias,Termo Correspondentes
"Medicine","8","Telemedicine"
"","","Medical Imaging"
"","","Virtual Reality in Medicine"
"","","3D Printing in Medicine"
"","","Precision Medicine"
"","","Predictive Analytics"
"","","Artificial Intelligence"
"","","Machine Learning"
"Learning","8","Machine Learning"
"","","Deep Learning"
"","","Wearable Devices"
"","","Medical Imaging"
"","","Natural Language Processing (NLP)"
"","","3D Printing in Medicine"
"","","Remote Patient Monitoring"
"","","Cognitive Computing"
"Health","6","Health technology"
"","","Electronic Health Records (EHR)"
"","","Blockchain in Healthcare"
"","","Smart Sensors in Healthcare"
"","","Virtual Reality in Medicine"
"","","Augmented Reality"
"Smart","3","Smartphone"
"","","Smart Sensors in Healthcare"
"","","Artificial Intelligence"
