Termos,Numero de Ocorrencias,Termo Correspondentes
"Medicine","4","Telemedicine"
"","","Virtual Reality in Medicine"
"","","3D Printing in Medicine"
"","","Precision Medicine"
"Learning","2","Machine Learning"
"","","Deep Learning"
"Health","4","Health technology"
"","","Electronic Health Records (EHR)"
"","","Blockchain in Healthcare"
"","","Smart Sensors in Healthcare"
"Smart","2","Smartphone"
"","","Smart Sensors in Healthcare"
"a","18","Smartphone"
"","","Health technology"
"","","Artificial Intelligence"
"","","Machine Learning"
"","","Deep Learning"
"","","Big Data Analytics"
"","","Wearable Devices"
"","","Electronic Health Records (EHR)"
"","","Medical Imaging"
"","","Natural Language Processing (NLP)"
"","","Predictive Analytics"
"","","Blockchain in Healthcare"
"","","Virtual Reality in Medicine"
"","","Augmented Reality"
"","","Genomic Data Analysis"
"","","Remote Patient Monitoring"
"","","Neural Networks"
"","","Smart Sensors in Healthcare"
