Origin Term,Matches Count,Matched Term
"Medicine","4","Telemedicine"
"","","Virtual Reality in Medicine"
"","","3D Printing in Medicine"
"","","Precision Medicine"
"Learning","2","Machine Learning"
"","","Deep Learning"
"a","18","Smartphone"
"","","Health technology"
"","","Artificial Intelligence"
"","","Machine Learning"
"","","Deep Learning"
"","","Big Data Analytics"
"","","Wearable Devices"
"","","Electronic Health Records (EHR)"
"","","Medical Imaging"
"","","Natural Language Processing (NLP)"
"","","Predictive Analytics"
"","","Blockchain in Healthcare"
"","","Virtual Reality in Medicine"
"","","Augmented Reality"
"","","Genomic Data Analysis"
"","","Remote Patient Monitoring"
"","","Neural Networks"
"","","Smart Sensors in Healthcare"
