Termos,Numero de Ocorrencias,Termo Correspondentes
Medicine,4,Telemedicine
,,Virtual Reality in Medicine
,,3D Printing in Medicine
,,Precision Medicine
Learning,2,Machine Learning
,,Deep Learning
Health,4,Health technology
,,Electronic Health Records (EHR)
,,Blockchain in Healthcare
,,Smart Sensors in Healthcare
Smart,2,Smartphone
,,Smart Sensors in Healthcare
e,23,Smartphone
,,Health technology
,,Telemedicine
,,Artificial Intelligence
,,Machine Learning
,,Deep Learning
,,Wearable Devices
,,Electronic Health Records (EHR)
,,Medical Imaging
,,Natural Language Processing (NLP)
,,Robotic Surgery
,,Predictive Analytics
,,Blockchain in Healthcare
,,Virtual Reality in Medicine
,,Augmented Reality
,,3D Printing in Medicine
,,Biotechnology
,,Precision Medicine
,,Genomic Data Analysis
,,Remote Patient Monitoring
,,Neural Networks
,,Cognitive Computing
,,Smart Sensors in Healthcare
